Title,Company,Skills,Region,City
it technical support specialist,kandil glass,"computer science, customer care, it technical support, information technology it, software engineering, customer support",10th of ramadan city,cairo
technical office engineer,arias egypt,"english, technical drawings, design, microsoft office, quantity survey, mechanical engineering, autocad",alsadat city,monufya
euae b1 english speakers graduates,etisalat egypt,"java, apis, net, communication, python, sql",maadi,cairo
business analyst,ecc group,"excel, analytical skills, analystresearch",nasr city,cairo
shopify developer,artsy silver,"css3, ux, design, ecommerce, html5, computer science, jquery, shopify, javascript, ui, programming, information technology it",sheikh zayed,giza
customer service  chat account,etisalat egypt,"communication skills, management, customer care, microsoft office, business administration, customer servicesupport, customer service",maadi,cairo
design engineer,super pack for engineering industries,"design, engineering  mechanicalelectrical, creativedesignart",6th of october,giza
odoo developer,darknessia,"english, engineering, computer science, postgresql, odoo, django, xpath, software development, information technology it, api",6th of october,giza
architect,ama architects,"3ds max, architecture, vray, interior design, creativedesignart, photoshop, engineering  constructioncivilarchitecture, autocad",mohandessin,giza
odoo developer,kandil industries,"english, engineering, computer science, postgresql, odoo, django, xpath, software development, information technology it, api",nasr city,cairo
senior process engineer,oppo egypt  manufacturing,"painting process, industrial powder coating, mig, science, tig, six sigma, mechanical engineering, chemical engineering",10th of ramadan city,cairo
project engineer,confidential,"sales target, architecture, civil engineering, project engineer, interior design, sales skills, engineering sales, architectural design",suez,suez
senior scrum master,lumin,"agile, computer engineering, computer science, microsoft office, communication, software development, information technology it",sheikh zayed,giza
odoo developer,alfa software,"english, engineering, computer science, postgresql, odoo, django, xpath, software development, information technology it, api",hurghada red,sea
web developer,gahbizcom,"html, engineering, computer science, css, software development, itsoftware development, web development",sidi gaber,alexandria
ict teacher  maternity cover  immediate start,egypt education platform,"icdl, tefl, teaching, education, computer, educationteaching",rehab city,cairo
it specialist,aayan developments,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",new cairo,cairo
full stack developer,confidential,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",No Region,cairo
senior microsoft dynamics 365 crm developer,meem development,"dynamics crm, computer science, microsoft dynamics, software development, iframe, isv application, ssrs",No Region,alexandria
it technical support engineer,outservingplus,"cisco, installationmaintenancerepair, lan, linux, computer science, troubleshooting, information technology it, wan",10th of ramadan city,cairo
senior backend developer nodejs  nestjs  postgres  kafka,vooteam,"git, backend developer, oop, computer science, mysql, software development, information technology it, software engineering, php",nasr city,cairo
senior frontend developer react  react native  nextjs,vooteam,"css3, restful, bootstrap, design, computer science, ajax, javascript, software development, information technology it",nasr city,cairo
shopify developer,confidential,"css3, ux, design, ecommerce, html5, computer science, jquery, shopify, javascript, ui, programming, information technology it",maadi,cairo
senior rpa developer uipath,tafeel,"html, engineering, vb, rpa, java, c, computer science, css, net, software development, information technology it, sql",nasr city,cairo
it specialist  technical support,egypt kuwait holding,"maintenance, technical support, computer science, telecommunication, networking, installation, information technology it, cctv",No Region,sohag
full stack developer nuxtjs,ocyan,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",No Region,alexandria
medical representative  kafr elsheikh,el nahar for medical solutions,"sales target, medical rep, salesretail, medicalhealthcare, veterinary, communication, farming solution, negotiation",kafr,alsheikh
technical office engineercost control engineer,tradelink,"civil engineering, construction, projectprogram management, urban  regional planning, engineering  constructioncivilarchitecture",new cairo,cairo
ffe engineer,amer vision group,"sales target, english, crm, technical, males only, salesretail, mechanical, sales skills, microsoft office, electrical engineering",sheraton,cairo
it project manager,dorra group,"tekla, civil engineering, project management, projectprogram management, production, mechanical engineering, tenders, autocad",sheikh zayed,giza
uiux designer,exco egypt,"english, architecture engineering, sketchup, revit, microsoft office, engineering  constructioncivilarchitecture, autocad",nasr city,cairo
software developer net backoffice  backend,compactsoft international,"mvc 5, html, c, entity framework, aspnet, mssql, jquery, javascript, azure, software engineering, web development, saas",nasr city,cairo
instructors min 5 years exp,cls learning solutions,"1 yrs of exp, professional teaching certificate, 5 vacancies, instructing, training, education, english teaching",No Region,cairo
backend developer php,vijua,"information technology it, backend developer, code, computer science, software development, mobile apps, software engineering, web",6th of october,giza
fullstack developer nextjs  nestjs,holix,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",No Region,cairo
senior vb6 developer,confidential,"sales target, electrical power engineering, market research, sales skills, marketing, business development",nasr city,cairo
euaeb2 english speakers corporate english accountgraduates,etisalat egypt,"java, apis, net, communication, python, sql",maadi,cairo
backend developer,monglish academy,"agile, computer science, docker, nodejs, mongodb, typescript based api, software development, information technology it, php",No Region,alexandria
sales account manager business developer,gulf data international,"sales target, english, customer service, account management, arabic, sales skills, microsoft office, customer support",maadi,cairo
net technical lead,link development,"sharepoint, c, computer engineering, aspnet, computer science, software, mvc, angular, oop, information technology it, sql",maadi,cairo
salesforce developer,cloudzlab,"sales target, communication skills, selling marketing services, english, market research, sales skills, digital marketing, emarketing",No Region,cairo
ui ux designer,pyramids pharmacy,"english, agile, ux, js, design, computer science, ui, creativedesignart, css, information technology it, itsoftware development",6th of october,giza
technical support engineer,afaqy,"cisco, ccnp, technical support, linux, computer engineering, mcsa, hardware, mcse, ccna, information technology it",maadi,cairo
senior full stack developer  node js  react,algoriza,"ms asp, programmer, computer science, apis, web applications, xml, mvc, css, information technology it, software engineering",No Region,giza
technical office engineer,confidential,"english, technical drawings, design, microsoft office, quantity survey, mechanical engineering, autocad",nasr city,cairo
senior front end developer  vue,our education,"vue, css3, engineering, react, computer science, html5, development, less, javascript, information technology it, seo, sass",nasr city,cairo
senior php developer laravel,our education,"cms, html, git, 3 vacancies, jquery, wordpress, software development, aws, mysql, azure, mvc, css, oop, rest, startup",nasr city,cairo
software application support engineer,softec technologies,"english, html, technical support, computer science, networking, software, hardware, css, database, customer support",maadi,cairo
it specialist,intaj alamal,"engineering, ccnp, computer science, networking, ccna, information technology it, itsoftware development",maadi,cairo
euae b1 english speakersetisalat uaegraduates,etisalat egypt,"english, customer support, males preferred, customer care, customer servicesupport, customer service",maadi,cairo
senior product owner,youxel,"english, agile, technical writing, computer science, software, product management, product owner, information technology it",maadi,cairo
php developer,confidential,"software development, information technology it, software engineering, php, itsoftware development",maadi,cairo
full stack developer,codecooks,"json, go, javascript, aws, nodejs, azure, software development, information technology it, software engineering, nosql, rest",new cairo,cairo
java developer,ultimate solutions egypt,"financial sector, java se, computer science, jbpm, software development, information technology it, sql, java ee, web development",No Region,giza
senior system admin engineer,chemipharm,"vmware, computer engineering, computer science, wsus, system administration, sql, nas, vcenter, information technology it, san",6th of october,giza
senior product designer,wuzzuf,"html, uxpin, engineering, ux, computer science, research, javascript, project management, css, information technology it, balsamiq",maadi,cairo
backend net core developer,spark systems,"html, net core, git, webapi, engineering, c, computer science, mssql, angular, mvc, oop, information technology it",sheikh zayed,giza
information technology technician,codpartner,"java, apis, net, communication, python, sql",maadi,cairo
software quality control lead,tafeel,"css3, engineering, agile, computer science, html5, jquery, javascript, quality control, mysql, information technology it",nasr city,cairo
technical presales,link development,"computer engineering, computer science, presales, sales skills, software development, software engineering",maadi,cairo
odoo developer,aldabboos group,"english, engineering, computer science, postgresql, odoo, django, xpath, software development, information technology it, api",sheraton,cairo
senior android developer,sure international technology,"json, web services, computer science, mobile development, software development, information technology it, android sdk, gradle",nasr city,cairo
project manager,34ml,"ms project, pmp, projectprogram management, agile methodology, microsoft project, quality assurance",heliopolis,cairo
system administrator,nouvel age,"ms project, engineering, cad drawing, microsoft office, networks, network administration, repair, information technology it",nasr city,cairo
unity game developer,confidential,"agile, computer science, game studio, creative, game developer, educational games, software development, information technology it",nasr city,cairo
fullstack ai tool developer react nextjs postgresql aws lambda,confidential,"git, engineering, react, computer science, javascript, telecom, angular, software development, full stack, php",new cairo,cairo
erp technical support,confidential,"maintenance, configuring, technical support, males only, computer science, installing, mcsa, ccna, information technology it",heliopolis,cairo
